"ClusterID","File-Name","Cluster","Group","PD-1"
5739,"CD_P190_CD3+_7500","CD4 Th17 CXCR5+ CM","Newly",0.809620335362273
5740,"CD_P190_CD3+_7500","CD4 Th2-like EM","Newly",1.13585374884873
5708,"CD_P194_CD3+_7500","CD4 Th17 CM","Newly",0.191371406469632
5710,"CD_P194_CD3+_7500","CD4 Th2 CM (1)","Newly",0.00161803244175084
5723,"CD_P194_CD3+_7500","CD8 Tc1 EM (1)","Newly",0.00478454235055148
5724,"CD_P194_CD3+_7500","CD8 Tc1 EM (1)","Newly",1.74733157326691
5732,"CD_P194_CD3+_7500","CD4 Th1 EM GrB+","Newly",1.2057789990182
5739,"CD_P194_CD3+_7500","CD4 Th17 CXCR5+ CM","Newly",0.312378905447585
5740,"CD_P194_CD3+_7500","CD4 Th2-like EM","Newly",0.0401750491246417
5704,"RR_P102_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",0.00137147972593496
5708,"RR_P102_CD3+_7500","CD4 Th17 CM","R/R",0.309559631706499
5710,"RR_P102_CD3+_7500","CD4 Th2 CM (1)","R/R",0.364304612607167
5723,"RR_P102_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.80876291384752
5724,"RR_P102_CD3+_7500","CD8 Tc1 EM (1)","R/R",2.75002783590689
5732,"RR_P102_CD3+_7500","CD4 Th1 EM GrB+","R/R",2.71686742918712
5739,"RR_P102_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",1.49325263300219
5740,"RR_P102_CD3+_7500","CD4 Th2-like EM","R/R",0.895323712531143
5704,"RR_P108_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",0.195039066559903
5708,"RR_P108_CD3+_7500","CD4 Th17 CM","R/R",1.04347742495257
5710,"RR_P108_CD3+_7500","CD4 Th2 CM (1)","R/R",0.910996955932051
5723,"RR_P108_CD3+_7500","CD8 Tc1 EM (1)","R/R",0.146974311357873
5724,"RR_P108_CD3+_7500","CD8 Tc1 EM (1)","R/R",0.998490102454705
5732,"RR_P108_CD3+_7500","CD4 Th1 EM GrB+","R/R",0.138180651322687
5739,"RR_P108_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",1.61202331665706
5740,"RR_P108_CD3+_7500","CD4 Th2-like EM","R/R",0.580412003069751
5704,"RR_P114_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",2.14746543895716
5708,"RR_P114_CD3+_7500","CD4 Th17 CM","R/R",0.758124233510149
5710,"RR_P114_CD3+_7500","CD4 Th2 CM (1)","R/R",0.900211202380301
5723,"RR_P114_CD3+_7500","CD8 Tc1 EM (1)","R/R",0.838680511200366
5724,"RR_P114_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.22939330213175
5732,"RR_P114_CD3+_7500","CD4 Th1 EM GrB+","R/R",1.21762700927977
5739,"RR_P114_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",1.31991273983928
5740,"RR_P114_CD3+_7500","CD4 Th2-like EM","R/R",1.94903596244363
5704,"RR_P126_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",2.18494889471852
5708,"RR_P126_CD3+_7500","CD4 Th17 CM","R/R",1.06634752637187
5710,"RR_P126_CD3+_7500","CD4 Th2 CM (1)","R/R",0.668360428100186
5723,"RR_P126_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.78756054298037
5724,"RR_P126_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.92332390451075
5732,"RR_P126_CD3+_7500","CD4 Th1 EM GrB+","R/R",2.14402948066615
5739,"RR_P126_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",1.48465873600155
5740,"RR_P126_CD3+_7500","CD4 Th2-like EM","R/R",0.472749993846953
5704,"RR_P129_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",2.5852098286248
5708,"RR_P129_CD3+_7500","CD4 Th17 CM","R/R",1.76814196928783
5710,"RR_P129_CD3+_7500","CD4 Th2 CM (1)","R/R",1.28595241466306
5723,"RR_P129_CD3+_7500","CD8 Tc1 EM (1)","R/R",2.56949180715529
5724,"RR_P129_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.01474557871909
5732,"RR_P129_CD3+_7500","CD4 Th1 EM GrB+","R/R",2.38267750958681
