"","Pax5","CD14","EOMES","MHC-II","CD30","CCR5","CD4","CD8","MHC-I","CD25","CD57","Tim3","PD-L2","pStat1","CD163","PD-1","B2M","CCR4","CCR7","Tbet","PD-L1","FoxP3","CXCR5","CD161","CD45RO","GranzymeB","CD73","CD33","CD3","CD68","pS6","IRF4","ki-67","CD15","CD56","CD16"
"6613",2.40701451004271,-0.177196424938178,-0.674876731272572,0.731570685355422,-0.160216509428483,-0.329566539488726,-0.461412689713713,-0.31805199057334,0.40665122263036,-0.212763325268216,-0.350953920567128,-0.359718514370874,-0.111344087716834,-0.539778301198443,-0.219257799806081,-0.123842096897968,0.0665930771980502,-0.47927937063303,0.211041553393554,-0.505661788432406,-0.155037106055385,-0.375673121875999,2.9965092114554,-0.302927971535895,-0.380157441512355,-0.396490485264885,-0.119952707323543,-0.41793833140476,-0.344266863482029,-0.569766385595841,-0.522499851362333,-0.0624602834794192,-0.275473055355518,-0.270187482071815,-0.306010785951252,-0.587773032794624
"6615",0.171039127574766,-0.520414324873471,0.168934376301758,1.12927936268901,-0.159689284224132,1.02696449525394,1.98168461961106,-0.317531671176093,-0.07040292678825,-0.213410823075071,-0.351254775674247,-0.359171777020443,-0.110494231638089,2.02267977968258,-0.219055511778453,-0.123834579759804,-0.211943863785776,0.0743314155864044,-0.260778137046061,-0.505216933326046,-0.154621429150872,1.30652417342463,-0.325533330089557,-0.303214954536001,-0.380053796320223,1.50360347588875,-0.133272674346468,-0.417720786992189,-0.344542689314534,1.92748714555084,2.34071245834579,2.72291966995889,-0.274675859178224,-0.270177749334039,-0.30576479945591,-0.588576762008526
"6616",-0.337339311047827,-0.520567130137972,1.56798534829179,-0.192097896774829,0.571390083108447,1.07764426696165,0.212247333294236,1.4264853102567,0.838606845268705,-0.212194639804188,3.49090518256532,0.728127067825432,-0.108905686318526,-0.539514977942857,-0.21900247761378,-0.123287187946514,-0.552947206404859,-0.480998046540668,-0.261948071973229,1.47604332433441,-0.154907350062478,-0.376017873773658,-0.325790448585174,-0.302116939089074,-0.380298311734382,2.21416023153028,-0.131571727831372,-0.418180130306929,-0.344615664580068,-0.861466847977098,-0.524044613304019,-0.292908889514215,-0.275532036025153,-0.270201737308269,-0.066165755102351,-0.00966674437288255
"6617",-0.321740927811154,-0.520571575603564,1.48719181429704,-0.242914552519697,0.189354178204946,0.807542756593307,-0.264214770471149,1.27250178985188,0.971051055126623,-0.21225833154983,3.34191372021128,0.409004288673939,-0.10898642253442,-0.538890396404067,-0.218984066456232,-0.123585375192568,0.326275263613905,-0.480847565413752,-0.261905014398479,2.25310015146948,-0.154866784157697,-0.375043755396692,-0.325694456645805,-0.300938550794629,-0.380354990459687,3.20366346377785,-0.122440969922187,-0.418186683001502,-0.345137263776309,-0.154872287984522,-0.52357793311421,-0.292343810094996,-0.2754659989055,-0.27017597686133,1.80834995109448,0.60473267968357
"6621",0.364191465597972,1.97879792949171,0.704369433225071,0.856419725472704,-0.159900685987074,-0.328585453379527,1.44190427613308,-0.31706593476357,1.54833467377698,-0.213026310532499,-0.0844758106808644,2.64961629487042,-0.108840522836014,3.25125848275338,3.25711906259276,-0.12286005677028,1.61107644953706,0.196093849214317,-0.261647044924296,-0.504657174115163,-0.154002986344697,1.66920149810124,-0.325534395096247,-0.302902501712411,1.85386534843378,-0.39644516593861,-0.136486998251997,3.98444845784041,-0.343934342040575,2.69689463077954,2.7552515648276,0.916921692460007,0.370836875710016,-0.227607065251082,-0.305542802158875,-0.588321868926698
"6622",2.39325635438776,-0.0992763912194404,-0.696790235339689,0.750766611070878,-0.160213228422683,-0.329648937660471,-0.461483865900506,-0.31822799185838,-0.883790307993826,-0.213171244248781,-0.351326881808012,-0.3596957834717,-0.111492248824318,-0.540338737777686,-0.219171787554672,-0.123702024428179,-0.772453558269713,-0.478583778734956,-0.257379619014758,-0.505694636834839,-0.155069004750233,-0.376121029367515,2.77809880127806,-0.303231163362215,-0.380293000975453,-0.396563358871924,-0.120472210554574,-0.418049303175407,-0.344487315466219,-0.927234721874758,-0.523241021361301,-0.289510305962416,-0.275474818684307,-0.2703238417195,-0.305975030101791,-0.587752297149503
"6624",1.89938278441714,-0.518185828387905,-0.313287234223187,0.891235865354607,-0.15990777430573,-0.32924239342441,-0.461290683384795,-0.317786880959684,1.80429670576018,-0.210147413229131,-0.350835044652966,-0.359789012240287,-0.111267147687762,-0.518202430337538,-0.219130175003474,-0.122595105624432,1.79403259135622,-0.256171094630163,0.200394090542986,-0.505385377638592,-0.155012720221954,-0.374745056502606,3.16024439818172,-0.302173706519201,-0.380165001048303,-0.396533737467957,-0.0966967089455278,-0.418054999408836,-0.344503368215739,-0.20938275619685,-0.287859939546906,-0.185051941128715,-0.275434522999465,-0.270028637269081,-0.305972751214571,-0.588416978701884
"6625",0.254144816638973,-0.52031582884421,0.728018821583982,1.93833827371345,0.364773536500683,1.11726903338157,0.498587995957994,-0.317463131784721,0.558809650192298,-0.213086489041767,-0.350915185319802,4,-0.110611299844467,1.84222301659332,-0.21647802565842,-0.123940846132922,0.289393637787783,1.57458992909584,-0.261265244199519,-0.505349785151758,-0.154869233215062,0.582099824942479,-0.325645590037203,-0.303311035607573,-0.379650835143059,-0.396570037009963,-0.136850367406667,2.44354134131296,-0.344731483196141,0.922414062196564,2.96388529325406,2.19316106351783,0.831719054858255,-0.270103567858504,-0.305749967725057,-0.588535405224383
"6630",-0.402955924837494,-0.520546916225562,1.19857974069495,-0.70626540510197,-0.159400377807885,-0.20526440020095,-0.460765834258857,0.402870398100214,0.973705362893907,-0.212821522930828,2.49995108571386,1.1881755533079,-0.109811605546465,-0.537393468022922,-0.218997426979453,-0.123370422625876,0.888517011602508,-0.480445484464695,-0.26163348805313,2.82503573642498,-0.154462637419788,0.00957986458126217,-0.325340062333859,3.10865931013769,-0.38006775014141,2.6694766358075,-0.126827127534758,-0.418069521570664,-0.344569185476774,0.680932029061431,-0.463099453270009,-0.290590281416302,-0.275290103790692,-0.270111184609519,3.35376356672011,1.31759372512708
"6632",-0.304115302820856,-0.520569876845821,1.84365708171119,-0.013331380077596,1.3970726100914,4,0.834730113464895,1.97034412823174,1.09354546561436,-0.212210493677233,3.59795172775731,0.416173544214205,-0.108624928570591,-0.539534137659101,-0.218992041736796,-0.123301580826126,0.0157587968525622,-0.481055660541767,-0.261917761724804,2.31761164747623,-0.154782288565063,-0.375424608888435,-0.325734885240559,-0.302010641367978,-0.380350117043798,2.75450301186121,-0.12734745625192,-0.418270849115147,-0.344872167371143,-0.669402867701937,-0.523845152882666,-0.29255571302991,-0.275512417145125,-0.270230465682344,0.727663007686014,1.38046483644924
"6634",-0.47098719416432,-0.520634428810347,1.65631159582116,-0.808634797613909,-0.160517953226294,-0.329090563379114,-0.461437687207844,-0.317621100511685,0.0684417044850139,-0.21220236601924,-0.351181616467264,-0.355522215958631,-0.111193284807199,-0.537760262249804,-0.219118140957197,-0.123997858257268,0.209985611507703,-0.480640921244814,-0.260731236055261,1.93844208284951,-0.154630177870668,-0.215485553289919,-0.325562462105173,2.34425276111617,-0.380050680109725,-0.395878878998978,-0.135703030485137,-0.417692360137146,-0.344528456666191,0.251644866828191,-0.185428226571474,-0.290751421209407,-0.275176721925586,-0.270202548841212,4,-0.588355139883615
"6635",0.321811916150531,-0.519570165696671,0.668235129863753,1.18456262202343,-0.159609018543677,-0.328429018976834,0.838814012997357,-0.31743705056368,1.30303662644221,-0.21309663409413,-0.204437739946949,0.901528274059518,-0.109583851843146,3.11848546131149,-0.217832557080902,-0.12351904016846,1.05782370697399,0.308556801292189,-0.261520672057656,-0.505194198084108,-0.154481058916343,0.909497178587169,-0.325484927333751,-0.302970811213109,-0.378962299273282,-0.396414839703754,-0.136290709588024,1.37721316082363,-0.344246359188977,2.38895261472413,1.67848818890264,0.351966461605156,-0.274899466883914,-0.269993350741242,-0.305815833466572,2.35692997934604
