"","CD16","PD-L1","FoxP3","CXCR5","CD161","GranzymeB","CD73","CD3","Tim3","pStat1","PD-1","B2M","CCR4","Tbet","CD45RO","Pax5","CD14","CD15","MHC-II","CD30","CCR5","CD4","CD8","MHC-I","CD57","EOMES","CD25","PD-L2","CD163","CCR7","CD33","CD68","pS6","IRF4","ki-67","CD56"
"3325",-0.407115162288558,-0.256819734320118,1.50167336951653,0.800612535585395,-0.385619718293398,-0.333356691325547,-0.246809667121049,-0.597241287538466,-0.303589114978497,-0.281527673805229,-0.33898974531688,0.934472086983397,0.305920146484039,-0.351561332729698,-0.294226077278714,1.64289463351971,1.7416705911092,-0.333476067925653,0.793666311947854,-0.300988826661577,-0.719679659361318,-0.736843341200572,-0.343128732773869,0.939755347157451,-0.342909305577752,-0.155730539019354,-0.273432402069163,-0.236075214553938,-0.158867009003841,-0.241841104331652,-0.260125280814088,0.849022643673885,0.714286105826621,0.442735924476777,3.98337033080082,-0.34529932429063
"3326",-0.407318789351293,-0.256427899734598,-0.585667743199223,1.68409640435734,-0.258238024183289,-0.333442188945858,4,-0.600306630142916,-0.301436516444378,-0.587822815114637,-0.340746162522551,1.26966217787494,-0.0047177870933366,-0.458400206265939,-0.29421654213191,0.837557031969301,-0.501685904927108,1.98014598934491,0.525580733388353,-0.304250102030374,-0.724367118179209,-0.738230135744158,-0.343091493025154,1.51105885882925,-0.343506652119849,-0.592429335213852,0.41377175723964,-0.236090991297858,0.112540407471212,-0.226875640096179,-0.26001406655201,-0.0264423880027398,0.086218463826976,-0.201775833306788,-0.282542424081185,-0.344837067089711
"3327",-0.404243009479125,-0.0694712800136685,1.70523486681597,-0.741336698443104,-0.387316191632844,-0.332927857002782,-0.246176387847693,-0.596974550961854,3.8721210982554,1.56514937962589,-0.343412742795831,0.646037179850784,0.849404746934965,-0.414613396920762,0.330574009703096,-0.0795225266323999,-0.229020320081803,-0.33350214293792,1.08348013500742,-0.0243302836034937,1.45455703150612,1.09645259466696,-0.296759865189717,0.658761593089542,-0.343278149491391,0.333777621873667,-0.275259742066447,-0.233311802755864,1.25083535376718,-0.242225598582049,3.9970526494209,1.62533990961689,1.72211188987563,0.985951958633013,-0.0252486315077446,-0.344959281238571
"3328",-0.407862635890577,-0.256777501200928,-0.969564752777975,-0.11918485507745,-0.388296233523144,-0.332628848112523,-0.247291809155049,1.37166422944756,-0.29266464408511,-0.619488691693013,2.47749152151907,-0.761612968030699,-0.61147412824875,-0.454748702712044,-0.209284672821833,-0.81310338283555,-0.524191690285878,-0.334097526713385,-0.719150204413918,-0.30319600508633,0.319029085412819,0.75768437286487,0.120431408841144,-0.603473953320579,2.84484274984234,0.0897362109922348,-0.273666354357051,-0.234619244544253,-0.894671240115541,-0.242281044607462,-0.260215275487737,-0.82242517086435,-0.858308007271566,-0.593778458515358,-0.281655276428913,-0.346016137471537
"3329",-0.402371398527767,-0.25634438405106,0.408382963563333,-0.7407725631483,2.01008076342873,-0.326824904591212,-0.245586848270228,-0.599322663514682,-0.171684979204446,-0.238843643796589,-0.343692859630343,0.38359122005483,-0.610987871992125,2.08472817798059,-0.293769637492518,-0.995589581243024,-0.523445493059294,-0.333736762931865,-0.687552383951114,-0.305783526739592,0.157043472318078,-0.738366130971525,-0.34462920105307,0.163695477976666,-0.343598012968487,0.886986979019955,-0.27142296464471,-0.23641919398226,-1.14752729747522,-0.242335646821239,-0.258899509648067,0.148179765665564,-0.170612218602378,-0.531270705928061,-0.280780346488576,3.76911355819163
"3330",-0.408867312208181,-0.255995546048574,-0.213845866057625,-0.520645048326047,3.26235771208594,-0.333500297275232,-0.245647165237641,-0.600539367165542,-0.296307960740858,-0.537765029454405,-0.342106935200415,0.567337161420522,-0.326307658200314,-0.460403810252819,-0.293715016247178,-1.13837660362503,-0.528201563672439,-0.333541503498334,-0.93226367856995,-0.305435408755023,-0.72507077553588,-0.738266834829412,-0.346001125171608,0.10954852951205,-0.342718798793434,-1.02943490057888,3.95426572033889,-0.236334034594623,-0.330447949421181,-0.241710785424786,-0.10939817124381,-0.2103244591287,0.482886176397688,-0.464711303627234,-0.281483528176488,-0.342499344520257
"3331",-0.40711697789543,-0.257044237197873,-0.406606857463603,1.74830798334468,-0.379852752700987,-0.333389738716186,-0.0776174079954457,-0.600571936586895,-0.303213052306722,-0.534909264005472,-0.340242818889858,1.30603048421832,-0.198006964191752,-0.457043501288094,-0.294313106122902,0.884940601349766,-0.50013508910138,-0.33382575747025,0.402776480953499,-0.304526419923261,-0.724968931039492,-0.738398050411001,-0.344151855656935,1.35476321852587,-0.34346057867378,-0.812717637099906,-0.26733963543484,-0.235929103102579,-0.0643669833907765,-0.17023399378674,-0.260317795292287,0.151702536810207,0.998905828303238,-0.0461691375469976,-0.281772396495541,-0.345621902129955
"3332",-0.404737417584355,4,0.409764796633719,-0.74126581011302,-0.38691187275142,-0.333284891084033,-0.245948707320593,-0.596726855960125,-0.295781422193267,2.80766864637969,-0.338005149698741,1.20500872090631,1.41316236891921,-0.0788530036789193,-0.293072110236355,0.130517421985147,-0.522158955957468,-0.333762029301345,1.35930622734906,0.705387263117669,0.637256563558598,0.320973374657373,-0.0877660194604481,1.2810724531171,-0.34306393793487,0.891962738471955,-0.273821901192397,4,-0.340040913730721,4,-0.250146180288769,1.4143954467501,1.16874774837527,2.97049659483693,-0.27804893184639,-0.344353544043714
"3333",1.7851504586012,-0.256120459682975,-0.786122823794313,-0.741828240047592,0.397464785857493,3.39038611207303,-0.24456615466216,-0.597774813269862,0.793921297964937,-0.622834922689792,-0.343529212012328,0.442656989580463,-0.589331116330074,3.17526758666861,-0.291538396427671,-0.768485453159466,-0.529248841688263,-0.334065583431762,-0.82203798363242,-0.304116011163214,-0.31460834025693,-0.738316495654934,-0.124976583554704,0.619685436394134,2.64954644820087,0.727966736387285,-0.276066391742128,-0.2342374811567,1.65516906895323,-0.241528144451868,-0.26248914204271,-0.011446699897862,-0.459790599924599,-0.594567416945739,-0.281656831152651,0.789253081804147
"3334",1.14807828461681,-0.0829960741758864,1.45627079367254,-0.739903747890975,-0.386097437993124,-0.331588288333601,-0.245962636809107,-0.600009144197589,-0.294248416702822,1.39617545565515,-0.340161904550358,-0.087121101099023,-0.610553188472143,-0.0587143195850871,3.95486403778577,-0.52068856034966,-0.516853833700091,3.36096078233343,-0.441210163728043,-0.305665683512352,-0.723379887102355,-0.735468368392562,-0.34463159712926,-0.489195420343417,-0.342150907265286,0.221037176252996,-0.27098067302339,-0.233316042810802,2.09079736845126,-0.242238789977148,0.00742110189377426,0.946597971696591,-0.406485078874025,-0.243718837740875,0.0960963764248278,0.61935375892295
"3335",-0.407998827885418,-0.25684391657063,-0.436770811977409,-0.741363779707823,-0.388436760530692,-0.33223900030883,-0.245062636009097,1.78461788104748,-0.296990866368199,-0.267130810884933,-0.342521242642455,-0.816704668673461,-0.611890168193159,-0.405980613541938,-0.292760318549051,-0.830890665525163,-0.522409011588551,-0.333806223756559,-1.00332595386053,-0.30561382817973,-0.724783783390686,-0.738378646409817,3.88047418117596,-0.938834099462307,-0.343760846053876,-0.0978656680281525,-0.273857036393681,-0.236206973845189,0.752136834912913,-0.235367454992592,-0.26033158913616,-0.687868439277078,-0.857377452881195,-0.590804424360513,-0.282029493088724,-0.345813356239244
"3336",-0.408213450053516,-0.255839628199322,-0.917617620765008,-0.741235060756537,-0.387244043277069,-0.33321450037032,-0.247140918852149,1.80681646391502,-0.30379072377838,-0.611339822689565,-0.342470356995425,-0.555987185191596,-0.609190496883701,-0.459011855185944,-0.291249779060164,-0.9488695206028,-0.524600795268606,-0.333965799234348,-1.20236380799725,-0.305821765491255,-0.725161814072841,1.46231565506517,-0.343340755834449,-0.684319435484765,-0.343786278512327,-0.801327869979863,-0.271396189258942,-0.236520035600484,-0.799171906556005,-0.239321647305928,-0.260534412525554,-0.826838556585834,-0.857227771375046,-0.59250911695537,-0.281759314445149,-0.345743957305154
"3337",-0.405703963155528,-0.255014724978419,-0.984360352127053,0.397199001620421,-0.386684130389902,-0.333381836350129,-0.247363262162483,1.44654805654681,-0.301594816764707,-0.620718295113168,2.99802353831751,-0.450832646224444,-0.611337234646833,-0.457800374204689,0.0311346169333088,-0.752606163061824,-0.525863453624334,-0.333900792977264,-1.04797716130076,-0.305195117149274,-0.725102782832688,1.53654701834603,-0.342705588198351,-0.485357455738015,-0.343665165100249,-0.924740638111686,-0.274193382269892,-0.235258131602497,0.917097752524694,-0.242891049994471,-0.260280209692182,-0.786878572731752,-0.855744305796246,-0.588369045260734,-0.2807699422027,-0.344941762644159
"3338",3.16481229506685,-0.257739993545471,-0.679559806950639,-0.420855808713961,-0.388501220419067,-0.333752359855799,-0.250953834695129,-0.602410562944046,-0.306284253989544,0.0306910444858485,-0.344853461314796,-1.81839986770915,3.28305408543653,-0.459162513560846,-0.294545085849493,1.28568439420825,1.575790680453,-0.333664765699693,2.1409185674181,3.8872265616078,2.30962793126365,-0.738748572109926,0.631829880844267,-0.824197456829455,-0.343216250785581,3.06426821305358,-0.275201575803866,-0.23638754139482,-0.814425366477639,-0.239801449156458,-0.260612830236861,-1.71963291404834,-0.859520104463681,-0.59675963193985,-0.283178863395747,-0.344949885674073
"3339",-0.406720991512769,-0.257109720109239,-1.08329357810829,1.32865769503795,-0.388072771955715,-0.33337261992364,-0.240019387689338,-0.600857805447777,-0.303926828870605,-0.618327538338952,-0.344854788576292,-1.97234499852603,-0.51336802802451,-0.46129584569409,-0.294079589300502,1.59793018890323,2.59688085152013,-0.333927992907761,0.399803195699034,-0.305166574080543,-0.726777913117382,-0.738987535971257,-0.345909922802475,-2.43621054844621,-0.344258344053432,-1.24036983917859,-0.274904895448451,-0.236746527233553,-1.6181667084454,-0.240988585571362,-0.260137227616987,-1.19039922979141,-0.856998637247761,-0.589371724378752,-0.282704981819045,-0.345902813367204
"3340",-0.406129543337486,-0.257091522020138,-0.266110378414136,-0.740947219841311,-0.384167795731455,-0.332546848668326,-0.24697363252796,1.38115277247243,-0.298203963511246,-0.612696696881393,-0.343100015515791,-0.993630722182707,-0.612227285488341,0.399348256153625,-0.292306384486196,-0.677033482636897,-0.524720860943054,-0.33417352082515,-1.06155043702172,-0.305555043546034,1.14307154757536,1.08843532391248,-0.344125044436855,-0.675881526569052,-0.343766899762796,-0.0354929984167809,-0.268399179449165,-0.237047005973695,0.361057884564301,-0.240052694874855,-0.26126323540191,-0.770309067683522,-0.8569486178637,-0.467854946206624,-0.282448201368531,-0.345712547373195
"3341",-0.408099640572734,-0.255432949287399,1.8868596788926,-0.740995144888771,-0.38746451315258,1.93247013688449,-0.24515039666381,-0.597457041637495,-0.293550089997756,0.963478430887712,-0.343240179700512,0.547514201999418,-0.107374743002604,-0.222469602934662,-0.293100328464019,-0.294605749190082,-0.521518587169356,-0.33384428533103,0.493388024516741,-0.30391334273149,1.53772546964737,1.85604126261669,-0.336667875344505,0.490069852428221,-0.343666322701019,-0.105610629843842,-0.274264502325416,-0.236151618697553,-0.414020736654626,-0.240791400326141,-0.25930260554138,1.79317226864998,2.27954698537755,1.91979418137035,-0.111271603752058,-0.345334134613562
"3342",-0.405541918542123,-0.25709223516936,-0.0386658774594151,1.77146035700911,-0.386999794837479,-0.333405378093505,-0.235523827330551,-0.600606744062049,-0.302774746283801,-0.609757752567146,-0.343587484474004,0.154323934748126,0.165225322992907,-0.459284942247284,-0.294395619953666,1.44024741692649,1.0797122779853,-0.33381601673602,0.71851209819564,-0.303055886071931,-0.724410096393213,-0.738445490434404,-0.344849811229972,0.00905912916351129,-0.343582748249085,-0.420015620580767,-0.273830652098988,-0.236285007250335,-0.557928559373846,-0.235887815471589,-0.260406219794166,0.124154955148374,-0.413690403682779,-0.217318076604169,-0.282115940976211,-0.345735340917762
